family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Rhabdoviridae,Citrus leprosis virus nuclear type,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,580,2.34E-05,23.41257116
Rhabdoviridae,Rhabdovirus YHG-2013,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,6,2.42E-07,0.242199012
Sedoreoviridae,Avian rotavirus A,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,10,6.52E-07,0.652388237
Sedoreoviridae,Bovine rotavirus A,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,34,2.44E-06,2.441939653
Sedoreoviridae,Human rotavirus A,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,22,1.63E-06,1.63
Sedoreoviridae,Lamb rotavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,24,1.72E-06,1.723722108
Sedoreoviridae,Rabbit rotavirus A,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,62,4.45E-06,4.452948779
Sedoreoviridae,Rotavirus A,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,330,2.43E-05,24.33845334
Solemoviridae,Physalis rugose mosaic virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,28,1.15E-06,1.15
Solemoviridae,Sobemovirus sp.,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,6,2.42E-07,0.242199012
Tobaniviridae,Antelope torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,151811,0.002578069,2578.06938
Tobaniviridae,Bangali torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,3782,6.41E-05,64.06940394
Tobaniviridae,Berne virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,32612,0.000553922,553.9217905
Tobaniviridae,Bovine torovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,77163,0.001307188,1307.188484
